u,v,z
1135.0,90.0,37.568878173828125
1124.0,91.0,37.2601318359375
1130.0,91.0,37.329856872558594
1127.0,93.0,37.441959381103516
1045.0,94.0,34.876007080078125
1048.0,94.0,35.283119201660156
1052.0,94.0,35.283119201660156
1128.0,94.0,36.657615661621094
1135.0,94.0,36.901729583740234
1029.0,95.0,34.406822204589844
1033.0,95.0,34.60977554321289
1036.0,95.0,34.478179931640625
1041.0,95.0,34.74238204956055
1052.0,96.0,35.661556243896484
1057.0,96.0,35.99616622924805
1125.0,96.0,36.074275970458984
1130.0,96.0,36.27104568481445
1135.0,96.0,36.657615661621094
1039.0,97.0,34.7666015625
1041.0,97.0,34.754486083984375
1047.0,97.0,35.20839309692383
1122.0,97.0,35.931331634521484
1132.0,97.0,36.76571273803711
1197.0,97.0,40.963191986083984
1035.0,98.0,34.69404220581055
1050.0,98.0,35.85383605957031
1053.0,98.0,35.82807922363281
1121.0,98.0,35.89254379272461
1124.0,98.0,36.06123352050781
1038.0,99.0,34.912628173828125
1045.0,99.0,35.48394775390625
1047.0,99.0,35.64881134033203
1050.0,99.0,35.866729736328125
1053.0,99.0,35.90546417236328
1056.0,99.0,36.074275970458984
1124.0,99.0,35.49657440185547
1030.0,100.0,34.30033493041992
1032.0,100.0,34.537872314453125
1034.0,100.0,34.754486083984375
1035.0,100.0,34.73028564453125
1042.0,100.0,35.171146392822266
1045.0,100.0,35.2332649230957
1052.0,100.0,35.866729736328125
1054.0,100.0,36.074275970458984
1057.0,100.0,36.02216339111328
916.0,101.0,29.276599884033203
918.0,101.0,29.328248977661133
921.0,101.0,29.501737594604492
925.0,101.0,29.624406814575195
928.0,101.0,29.527938842773438
931.0,101.0,29.466875076293945
1029.0,101.0,34.066043853759766
1040.0,101.0,34.97383499145508
1043.0,101.0,34.82729721069336
1046.0,101.0,34.98610305786133
1047.0,101.0,35.69984817504883
1049.0,101.0,35.8409538269043
1050.0,101.0,35.8409538269043
1051.0,101.0,36.02216339111328
1052.0,101.0,36.009159088134766
1055.0,101.0,36.074275970458984
1031.0,102.0,34.41869354248047
1032.0,102.0,33.76620864868164
1033.0,102.0,34.7666015625
1034.0,102.0,34.94932556152344
1036.0,102.0,35.04756546020508
1037.0,102.0,35.022953033447266
1039.0,102.0,34.98610305786133
1041.0,102.0,34.876007080078125
1043.0,102.0,34.93708419799805
1045.0,102.0,35.63607406616211
1046.0,102.0,35.61063003540039
1047.0,102.0,35.69984817504883
1048.0,102.0,35.789512634277344
1051.0,102.0,35.944278717041016
1052.0,102.0,36.10038757324219
1054.0,102.0,36.13962936401367
1057.0,102.0,36.13962936401367
928.0,103.0,27.04592514038086
964.0,103.0,25.080556869506836
1030.0,103.0,34.41869354248047
1031.0,103.0,34.46626663208008
1032.0,103.0,34.68198013305664
1034.0,103.0,34.82729721069336
1036.0,103.0,35.05988693237305
1037.0,103.0,35.07221221923828
1040.0,103.0,34.99837875366211
1043.0,103.0,34.90040969848633
1053.0,103.0,36.074275970458984
1056.0,103.0,36.113460540771484
1057.0,103.0,36.12654113769531
1060.0,103.0,36.192081451416016
878.0,104.0,26.090864181518555
881.0,104.0,26.297225952148438
885.0,104.0,25.700946807861328
888.0,104.0,25.807340621948242
894.0,104.0,25.747386932373047
920.0,104.0,29.501737594604492
924.0,104.0,29.598033905029297
1029.0,104.0,33.823455810546875
1035.0,104.0,35.01066207885742
1037.0,104.0,35.04756546020508
1040.0,104.0,35.035255432128906
1041.0,104.0,35.121612548828125
1043.0,104.0,34.82729721069336
1045.0,104.0,35.01066207885742
1048.0,104.0,35.75102996826172
1049.0,104.0,35.80236053466797
1051.0,104.0,36.009159088134766
1052.0,104.0,35.866729736328125
1054.0,104.0,36.23152160644531
1055.0,104.0,36.23152160644531
1057.0,104.0,36.244686126708984
1058.0,104.0,36.3106575012207
848.0,105.0,25.834077835083008
851.0,105.0,25.968595504760742
854.0,105.0,25.68770980834961
883.0,105.0,25.654674530029297
922.0,105.0,29.730365753173828
923.0,105.0,29.58925437927246
1030.0,105.0,34.7666015625
1031.0,105.0,34.50203323364258
1033.0,105.0,34.912628173828125
1035.0,105.0,35.035255432128906
1036.0,105.0,35.07221221923828
1037.0,105.0,35.183555603027344
1039.0,105.0,35.183555603027344
1040.0,105.0,34.65787887573242
1042.0,105.0,34.83945846557617
1043.0,105.0,35.19596862792969
1046.0,105.0,34.94932556152344
1047.0,105.0,35.1463623046875
1052.0,105.0,35.98318099975586
1053.0,105.0,36.08732986450195
1054.0,105.0,36.12654113769531
1057.0,105.0,36.12654113769531
1061.0,105.0,36.165836334228516
823.0,106.0,24.531572341918945
829.0,106.0,24.961305618286133
857.0,106.0,24.57387924194336
915.0,106.0,29.475584030151367
918.0,106.0,29.58925437927246
931.0,106.0,26.83491325378418
1030.0,106.0,33.846412658691406
1032.0,106.0,34.335758209228516
1034.0,106.0,34.79085159301758
1035.0,106.0,34.93708419799805
1036.0,106.0,34.83945846557617
1037.0,106.0,34.98610305786133
1038.0,106.0,34.7666015625
1039.0,106.0,34.80299377441406
1041.0,106.0,34.83945846557617
1042.0,106.0,34.92485046386719
1043.0,106.0,35.022953033447266
1044.0,106.0,34.83945846557617
1047.0,106.0,36.009159088134766
1049.0,106.0,35.866729736328125
1053.0,106.0,35.42094421386719
1056.0,106.0,35.90546417236328
1058.0,106.0,35.623348236083984
817.0,107.0,24.029239654541016
821.0,107.0,24.369747161865234
825.0,107.0,24.3162784576416
879.0,107.0,26.269521713256836
884.0,107.0,26.900047302246094
888.0,107.0,26.849361419677734
889.0,107.0,26.297225952148438
892.0,107.0,26.27644157409668
916.0,107.0,29.527938842773438
917.0,107.0,29.510465621948242
918.0,107.0,29.633207321166992
921.0,107.0,29.66846466064453
923.0,107.0,29.60681915283203
924.0,107.0,29.633207321166992
926.0,107.0,29.131242752075195
929.0,107.0,26.81327247619629
941.0,107.0,25.34825325012207
944.0,107.0,25.41283416748047
961.0,107.0,24.973804473876953
1029.0,107.0,34.549835205078125
1030.0,107.0,33.98479461669922
1031.0,107.0,34.669925689697266
1032.0,107.0,34.94932556152344
1033.0,107.0,34.60977554321289
1034.0,107.0,35.07221221923828
1036.0,107.0,34.633811950683594
1040.0,107.0,34.054412841796875
1044.0,107.0,34.83945846557617
1049.0,107.0,34.3121337890625
1051.0,107.0,34.12431716918945
1055.0,107.0,33.81199264526367
1058.0,107.0,33.926998138427734
1060.0,107.0,34.042789459228516
1067.0,107.0,34.44246292114258
884.0,108.0,26.994688034057617
886.0,108.0,26.734220504760742
888.0,108.0,26.27644157409668
891.0,108.0,26.200519561767578
904.0,108.0,25.773998260498047
914.0,108.0,28.79485511779785
916.0,108.0,29.58925437927246
919.0,108.0,29.285194396972656
921.0,108.0,29.354141235351562
923.0,108.0,29.105741500854492
927.0,108.0,26.806066513061523
943.0,108.0,25.35469627380371
961.0,108.0,24.257143020629883
964.0,108.0,24.399553298950195
966.0,108.0,24.720043182373047
1030.0,108.0,34.549835205078125
1036.0,108.0,33.193138122558594
1061.0,108.0,34.7666015625
1064.0,108.0,34.92485046386719
1067.0,108.0,35.022953033447266
1070.0,108.0,35.2457160949707
787.0,109.0,21.25407600402832
791.0,109.0,21.543277740478516
794.0,109.0,21.585235595703125
826.0,109.0,24.81228256225586
828.0,109.0,24.961305618286133
831.0,109.0,24.973804473876953
846.0,109.0,25.84746742248535
848.0,109.0,24.59205436706543
849.0,109.0,25.887718200683594
850.0,109.0,24.38166046142578
854.0,109.0,24.41747283935547
857.0,109.0,24.441404342651367
861.0,109.0,24.640655517578125
864.0,109.0,24.713918685913086
867.0,109.0,24.561777114868164
868.0,109.0,24.610258102416992
871.0,109.0,25.156463623046875
872.0,109.0,24.665027618408203
876.0,109.0,26.036380767822266
879.0,109.0,26.262605667114258
893.0,109.0,25.860870361328125
894.0,109.0,25.887718200683594
895.0,109.0,25.694326400756836
897.0,109.0,25.773998260498047
898.0,109.0,25.720829010009766
915.0,109.0,29.51919937133789
916.0,109.0,29.388736724853516
919.0,109.0,29.054872512817383
920.0,109.0,29.105741500854492
924.0,109.0,29.122737884521484
928.0,109.0,26.798864364624023
941.0,109.0,25.374046325683594
943.0,109.0,25.380502700805664
944.0,109.0,25.143779754638672
945.0,109.0,25.080556869506836
1019.0,109.0,31.847183227539062
1028.0,109.0,34.51396942138672
1031.0,109.0,34.58577346801758
1033.0,109.0,35.183555603027344
1038.0,109.0,34.32394027709961
1041.0,109.0,35.096893310546875
1044.0,109.0,34.549835205078125
1046.0,109.0,34.79085159301758
1047.0,109.0,34.81513977050781
1051.0,109.0,34.21796798706055
1053.0,109.0,34.371253967285156
1054.0,109.0,34.371253967285156
1055.0,109.0,34.478179931640625
1057.0,109.0,34.561805725097656
1058.0,109.0,34.621788024902344
1059.0,109.0,34.718196868896484
1061.0,109.0,34.83945846557617
1064.0,109.0,34.96157455444336
1066.0,109.0,34.98610305786133
1067.0,109.0,35.109249114990234
1068.0,109.0,35.19596862792969
1069.0,109.0,35.33311080932617
1070.0,109.0,35.171146392822266
1071.0,109.0,35.33311080932617
801.0,110.0,20.109954833984375
808.0,110.0,20.676902770996094
815.0,110.0,23.71502113342285
819.0,110.0,24.098907470703125
823.0,110.0,24.549686431884766
826.0,110.0,24.89899444580078
828.0,110.0,24.91143226623535
849.0,110.0,24.495426177978516
851.0,110.0,24.60418701171875
853.0,110.0,24.322208404541016
857.0,110.0,24.47138786315918
860.0,110.0,24.567827224731445
863.0,110.0,24.88036346435547
866.0,110.0,24.640655517578125
869.0,110.0,24.658931732177734
873.0,110.0,25.921356201171875
875.0,110.0,26.228076934814453
877.0,110.0,26.11135482788086
878.0,110.0,26.269521713256836
880.0,110.0,26.401634216308594
881.0,110.0,26.5139217376709
883.0,110.0,26.478729248046875
884.0,110.0,26.798864364624023
886.0,110.0,26.53508186340332
888.0,110.0,26.063594818115234
889.0,110.0,25.887718200683594
891.0,110.0,25.90789031982422
892.0,110.0,25.827388763427734
894.0,110.0,25.90789031982422
895.0,110.0,25.840770721435547
897.0,110.0,25.707571029663086
927.0,110.0,26.907302856445312
941.0,110.0,25.374046325683594
942.0,110.0,25.309661865234375
943.0,110.0,24.78145980834961
944.0,110.0,25.399890899658203
945.0,110.0,25.156463623046875
1027.0,110.0,34.561805725097656
1028.0,110.0,33.76620864868164
1030.0,110.0,35.01066207885742
1031.0,110.0,35.258174896240234
1032.0,110.0,34.68198013305664
1033.0,110.0,35.2332649230957
1035.0,110.0,35.40836715698242
1036.0,110.0,33.58430099487305
1038.0,110.0,33.823455810546875
1039.0,110.0,35.07221221923828
1040.0,110.0,34.70611572265625
1041.0,110.0,35.1463623046875
1042.0,110.0,34.98610305786133
1043.0,110.0,34.525917053222656
1045.0,110.0,34.86381530761719
1047.0,110.0,34.74238204956055
1048.0,110.0,34.68198013305664
1049.0,110.0,34.83945846557617
1051.0,110.0,34.371253967285156
1052.0,110.0,34.3121337890625
1053.0,110.0,34.371253967285156
1054.0,110.0,34.43057632446289
1055.0,110.0,34.537872314453125
1056.0,110.0,34.573787689208984
1057.0,110.0,34.621788024902344
1058.0,110.0,34.718196868896484
1059.0,110.0,34.68198013305664
1061.0,110.0,34.85163497924805
1062.0,110.0,34.80299377441406
1064.0,110.0,35.04756546020508
1065.0,110.0,35.022953033447266
1066.0,110.0,35.096893310546875
1067.0,110.0,35.158748626708984
1068.0,110.0,35.158748626708984
1070.0,110.0,35.2706413269043
1203.0,110.0,42.08665466308594
816.0,111.0,24.040822982788086
818.0,111.0,24.040822982788086
822.0,111.0,24.75685691833496
830.0,111.0,24.174837112426758
831.0,111.0,24.058218002319336
847.0,111.0,25.827388763427734
848.0,111.0,24.91143226623535
