u,v,z
4.0,94.0,53.540191650390625
5.0,94.0,53.42548370361328
9.0,94.0,53.084285736083984
1129.0,94.0,35.458717346191406
1132.0,94.0,35.458717346191406
1136.0,94.0,35.509212493896484
1144.0,94.0,35.547176361083984
1145.0,94.0,35.35816192626953
1149.0,94.0,34.876007080078125
1153.0,94.0,34.912628173828125
1105.0,95.0,35.37070083618164
1078.0,96.0,34.88820266723633
1082.0,96.0,35.01066207885742
1085.0,96.0,35.07221221923828
1133.0,96.0,35.48394775390625
1146.0,96.0,34.99837875366211
1150.0,96.0,34.93708419799805
1154.0,96.0,34.93708419799805
875.0,97.0,40.12283706665039
877.0,97.0,40.12283706665039
880.0,97.0,40.12283706665039
1130.0,97.0,35.458717346191406
1134.0,97.0,35.44611740112305
1148.0,97.0,35.121612548828125
1154.0,97.0,34.876007080078125
1082.0,98.0,35.035255432128906
1086.0,98.0,35.07221221923828
1089.0,98.0,35.183555603027344
980.0,99.0,32.941009521484375
983.0,99.0,32.91926574707031
994.0,99.0,32.332374572753906
1071.0,99.0,34.754486083984375
1073.0,99.0,34.83945846557617
1075.0,99.0,34.912628173828125
1078.0,99.0,34.912628173828125
1083.0,99.0,34.99837875366211
1087.0,99.0,35.08454895019531
877.0,100.0,40.10670471191406
954.0,100.0,32.342857360839844
957.0,100.0,32.42697525024414
960.0,100.0,32.49034881591797
963.0,100.0,32.54335403442383
966.0,100.0,32.596527099609375
968.0,100.0,32.63919448852539
971.0,100.0,32.735599517822266
974.0,100.0,32.83258056640625
977.0,100.0,32.88670349121094
986.0,100.0,32.405906677246094
991.0,100.0,32.269615173339844
1130.0,100.0,35.33311080932617
1133.0,100.0,35.42094421386719
1134.0,100.0,35.37070083618164
1137.0,100.0,35.39580535888672
1148.0,100.0,35.2457160949707
1149.0,100.0,35.2457160949707
1151.0,100.0,34.98610305786133
1155.0,100.0,34.99837875366211
875.0,101.0,40.13898468017578
940.0,101.0,31.604997634887695
943.0,101.0,31.725627899169922
946.0,101.0,31.938961029052734
948.0,101.0,32.062156677246094
951.0,101.0,32.19670104980469
1147.0,101.0,35.283119201660156
1152.0,101.0,34.99837875366211
22.0,102.0,52.97152328491211
25.0,102.0,53.0278434753418
29.0,102.0,52.83123779296875
32.0,102.0,52.83123779296875
921.0,102.0,29.908658981323242
924.0,102.0,30.776111602783203
927.0,102.0,30.900054931640625
928.0,102.0,30.996076583862305
931.0,102.0,31.131515502929688
973.0,102.0,32.77863311767578
974.0,102.0,32.76786422729492
977.0,102.0,32.897552490234375
981.0,102.0,32.8758659362793
984.0,102.0,32.84339141845703
987.0,102.0,32.374351501464844
990.0,102.0,32.29050827026367
993.0,102.0,32.28005599975586
1071.0,102.0,34.70611572265625
1073.0,102.0,34.86381530761719
1075.0,102.0,34.80299377441406
1077.0,102.0,34.93708419799805
1078.0,102.0,34.92485046386719
1081.0,102.0,34.876007080078125
1082.0,102.0,34.90040969848633
1083.0,102.0,34.912628173828125
1084.0,102.0,35.04756546020508
1085.0,102.0,35.022953033447266
1086.0,102.0,34.94932556152344
1087.0,102.0,35.121612548828125
1089.0,102.0,34.99837875366211
1090.0,102.0,35.096893310546875
1091.0,102.0,35.171146392822266
1148.0,102.0,34.98610305786133
1149.0,102.0,35.183555603027344
1151.0,102.0,34.88820266723633
1152.0,102.0,34.93708419799805
881.0,103.0,40.203697204589844
947.0,103.0,31.979921340942383
950.0,103.0,32.124114990234375
953.0,103.0,32.29050827026367
955.0,103.0,32.35334777832031
958.0,103.0,32.43751907348633
961.0,103.0,32.52212905883789
966.0,103.0,32.60718536376953
967.0,103.0,32.585880279541016
969.0,103.0,32.6712646484375
970.0,103.0,32.64987564086914
972.0,103.0,32.810977935791016
975.0,103.0,32.821773529052734
978.0,103.0,32.93013381958008
982.0,103.0,32.88670349121094
985.0,103.0,32.68197250366211
986.0,103.0,32.31142807006836
989.0,103.0,32.31142807006836
992.0,103.0,32.30096435546875
1089.0,103.0,35.05988693237305
1117.0,103.0,35.42094421386719
1124.0,103.0,35.458717346191406
1126.0,103.0,35.283119201660156
1128.0,103.0,35.48394775390625
1131.0,103.0,35.2706413269043
1143.0,103.0,35.59791946411133
1147.0,103.0,35.63607406616211
1148.0,103.0,35.022953033447266
1152.0,103.0,34.94932556152344
876.0,104.0,40.05838394165039
879.0,104.0,40.09058380126953
880.0,104.0,40.042301177978516
881.0,104.0,40.09058380126953
882.0,104.0,40.10670471191406
941.0,104.0,31.68531608581543
944.0,104.0,31.837017059326172
945.0,104.0,31.979921340942383
948.0,104.0,32.113773345947266
952.0,104.0,32.29050827026367
955.0,104.0,32.38486099243164
1071.0,104.0,34.68198013305664
1072.0,104.0,34.88820266723633
1078.0,104.0,34.94932556152344
1079.0,104.0,34.88820266723633
1080.0,104.0,34.98610305786133
1081.0,104.0,35.022953033447266
1082.0,104.0,34.912628173828125
854.0,105.0,26.958209991455078
857.0,105.0,27.082643508911133
859.0,105.0,27.25283432006836
862.0,105.0,27.42517852783203
920.0,105.0,29.87282943725586
923.0,105.0,30.5686092376709
924.0,105.0,30.78561019897461
925.0,105.0,30.91921043395996
972.0,105.0,32.789405822753906
976.0,105.0,32.85420608520508
979.0,105.0,32.91926574707031
982.0,105.0,32.93013381958008
983.0,105.0,32.897552490234375
986.0,105.0,32.38486099243164
989.0,105.0,32.29050827026367
993.0,105.0,32.28005599975586
1073.0,105.0,34.86381530761719
1075.0,105.0,34.90040969848633
1077.0,105.0,34.94932556152344
1078.0,105.0,34.94932556152344
1082.0,105.0,34.98610305786133
1124.0,105.0,35.37070083618164
1128.0,105.0,35.37070083618164
1131.0,105.0,35.40836715698242
1144.0,105.0,35.52185821533203
1145.0,105.0,35.55984878540039
1148.0,105.0,35.44611740112305
1149.0,105.0,35.183555603027344
1151.0,105.0,34.90040969848633
1152.0,105.0,34.88820266723633
1153.0,105.0,34.912628173828125
839.0,106.0,25.820703506469727
842.0,106.0,26.228076934814453
844.0,106.0,26.40862464904785
847.0,106.0,26.54920768737793
850.0,106.0,26.68415641784668
851.0,106.0,26.81327247619629
876.0,106.0,40.042301177978516
879.0,106.0,40.13898468017578
881.0,106.0,40.10670471191406
920.0,106.0,29.93558692932129
949.0,106.0,32.09310531616211
952.0,106.0,32.29050827026367
955.0,106.0,32.38486099243164
958.0,106.0,32.44807434082031
959.0,106.0,32.41643524169922
962.0,106.0,32.49034881591797
966.0,106.0,32.61784744262695
967.0,106.0,32.54335403442383
969.0,106.0,32.692684173583984
970.0,106.0,32.55397415161133
972.0,106.0,32.72486114501953
973.0,106.0,32.71412658691406
975.0,106.0,32.80018997192383
976.0,106.0,32.735599517822266
978.0,106.0,32.85420608520508
981.0,106.0,32.897552490234375
982.0,106.0,32.757102966308594
983.0,106.0,32.8758659362793
985.0,106.0,32.63919448852539
986.0,106.0,32.39537811279297
989.0,106.0,32.28005599975586
992.0,106.0,32.28005599975586
1064.0,106.0,33.74336242675781
1077.0,106.0,34.85163497924805
1081.0,106.0,34.88820266723633
1111.0,106.0,35.33311080932617
1112.0,106.0,35.35816192626953
1118.0,106.0,35.35816192626953
1125.0,106.0,35.40836715698242
1126.0,106.0,35.47132873535156
1127.0,106.0,35.43352508544922
1128.0,106.0,35.40836715698242
1129.0,106.0,35.43352508544922
1131.0,106.0,35.48394775390625
1137.0,106.0,35.2706413269043
1143.0,106.0,35.39580535888672
1145.0,106.0,35.35816192626953
1146.0,106.0,35.61063003540039
1149.0,106.0,35.38324737548828
1150.0,106.0,34.90040969848633
1151.0,106.0,34.94932556152344
812.0,107.0,24.94257926940918
815.0,107.0,24.967554092407227
816.0,107.0,25.005107879638672
819.0,107.0,25.086864471435547
832.0,107.0,25.55607795715332
834.0,107.0,25.628307342529297
836.0,107.0,25.720829010009766
875.0,107.0,40.203697204589844
876.0,107.0,40.13898468017578
